,index,id,name,total_elevation_gain,avg_pace,average_heartrate,elev_high,trail_run,suffer_score
0,0,6413878675,Morning Run,176.2,5.8830450641251915,141.7,419.0,1,32.0
1,1,6397787893,Lelekovice hrad,586.7,6.472491909385113,153.9,407.5,1,173.0
2,3,6391407752,Afternoon Run,134.1,6.2212268259300725,149.3,312.6,0,49.0
3,5,6382798181,Afternoon Run,183.9,5.727376861397479,150.9,322.5,0,54.0
4,6,6373602554,Slnečno,484.8,6.457445434586077,145.6,401.4,1,65.0
5,8,6362509481,Rozprávkovo,371.1,6.140997297961189,162.4,314.3,1,105.0
6,9,6357688667,Ľadovo,376.1,6.507874528179097,153.7,401.4,1,82.0
7,10,6350469672,Afternoon Run,211.1,6.42756138321121,146.3,364.7,1,41.0
8,11,6345167884,Morning Run,314.7,6.605892456070815,148.6,410.7,1,63.0
9,13,6333035988,Morning Run,176.9,6.530825496342737,151.1,308.2,1,36.0
10,15,6324538638,Base,222.1,6.769564040075818,155.0,376.1,1,61.0
11,18,6292352658,Upršano,315.9,6.332320162107395,158.0,417.1,1,100.0
12,19,6288685151,Afternoon Run,169.0,6.289308176100629,154.3,329.0,1,37.0
13,21,6270214022,Postupne naspäť,251.0,6.356470887363336,158.9,373.5,1,84.0
14,22,6260878895,Afternoon Run,111.1,5.980145915560339,153.0,323.1,1,41.0
15,25,6234640360,Čelovková sezóna 🔦,131.2,5.564830272676684,158.4,331.8,0,61.0
16,31,6110942855,Jeseň 🍁,462.7,6.272738677706686,156.7,430.5,1,99.0
17,33,6091215708,Funday,220.0,5.743165632896853,149.4,335.4,1,40.0
18,34,6085749324,Morning Run ☀️,473.6,6.1477929423337025,147.2,427.0,1,78.0
19,37,6061839747,Base,243.2,6.298815822625346,155.5,387.9,1,72.0
20,38,6056158399,Sprievodcovanie,118.4,7.08918190840777,135.9,326.8,1,11.0
21,39,6051280034,Trailová polka,636.0,6.464959917248514,159.3,413.6,1,194.0
22,42,6031593676,Pomaly si zvykám 🏃,339.0,6.16827041697508,159.9,411.9,1,113.0
23,44,6026300681,Brdky,179.8,6.298815822625346,145.8,344.7,1,24.0
24,45,6015308117,Morning Run,443.4,6.435006435006435,160.4,386.0,1,144.0
25,48,5999926383,Morning Run,129.0,5.4007344998919855,152.8,312.9,1,43.0
26,50,5983488231,Good morning Brnooo,261.8,6.100536847242557,156.7,371.7,1,78.0
27,51,5969841561,Hady okruh - Redemption ,853.1,7.887679444707367,167.1,976.6,1,240.0
28,52,5953780948,Vretenica run,297.4,6.621639517944644,157.1,741.9,1,69.0
29,60,5871497175,Vlčín,212.7,6.2539086929330825,155.7,523.0,1,93.0
30,61,5866716417,Otočka kvôli búrke :(,521.9,7.751937984496124,158.5,796.8,1,105.0
31,63,5846536848,Prevetrať cesťačky pri západe,74.0,5.829544129649061,144.5,375.5,0,49.0
32,68,5808486956,Lesopark,230.8,6.1342166605324495,160.2,418.3,1,94.0
33,70,5789966469,Za -> Rajecké ,462.1,6.881365262868153,164.1,519.5,1,194.0
34,78,5726967431,Rajecké run,276.8,6.605892456070815,157.5,554.9,1,90.0
35,82,5695626600,Julien Alps trail run,278.7,6.720430107526881,154.1,1006.3,1,78.0
36,88,5653778123,Radosť,146.0,6.356470887363336,157.6,405.1,1,87.0
37,90,5630687156,🐌,31.3,6.289308176100629,160.0,340.6,0,84.0
38,91,5619407160,Toto lepšie,6.2,5.7530778966747205,155.7,369.3,0,24.0
39,96,5554471599,Hike-a-run,401.2,9.07770515613653,156.0,755.6,1,81.0
40,114,5308204721,Evening Run,16.0,5.815305885089556,137.0,361.0,0,5.0
41,125,5218253390,New kicks,29.0,5.668934240362812,149.8,351.6,0,28.0
42,130,5190579870,Popolček Vlčín,294.9,5.831583858175881,145.7,516.2,1,51.0
43,133,5172700493,Bakalarkovať,29.8,5.676657584014532,146.3,360.9,0,28.0
44,135,5155441479,Na slimáka,35.0,5.935422602089268,155.4,376.9,0,52.0
45,142,5125776125,Afternoon Run,29.0,5.7650178715554015,142.8,356.0,0,20.0
46,147,5094986219,Kopčeky,145.1,5.564830272676684,150.6,452.9,0,50.0
47,150,5078958298,Podcast time,78.1,5.430650591940914,148.8,366.1,0,74.0
48,153,5062493829,Afternoon run,41.1,5.526083112290009,133.5,359.5,0,16.0
49,159,5037148869,Easy,38.0,5.891363261458701,142.8,359.7,0,26.0
50,160,5030977285,Lesopark traily,284.6,5.516936996579499,158.2,426.4,1,106.0
51,167,5003033916,Točiť,30.6,5.466273095003826,133.3,370.8,0,6.0
52,170,4994787925,Morning Run,117.0,5.709717939933768,153.2,385.0,0,44.0
53,173,4971362999,Kunerad Trail Run,566.7,7.662835249042146,161.3,894.5,1,200.0
54,179,4951928428,S čelovkou,53.9,5.785028346638898,154.5,372.5,0,79.0
55,183,4934430913,Afternoon Run,205.4,5.486065393899495,160.0,449.9,0,92.0
56,187,4912645807,Loop > Out and Back,103.0,5.6902241948332755,156.4,426.0,0,73.0
57,188,4907039507,"Najprv pracovne točiť na bakalárku, potom 5k effort",24.0,4.826720725938797,156.2,360.2,0,41.0
58,196,4869335957,Afternoon Run,101.0,5.331627212625293,157.9,395.0,0,44.0
59,200,4848536261,Trochu potlačiť,41.3,5.511463844797178,166.0,355.5,0,166.0
60,203,4830626446,Afternoon Run,68.0,5.223023085762039,164.7,354.0,0,78.0
61,204,4815824086,Oravská lesná vol. 2,396.6,7.676953784738216,139.6,973.0,1,68.0
62,206,4791519494,Afternoon Run,104.7,5.950255861002023,164.6,410.2,1,62.0
63,209,4774113853,"Kopce, Sňahy a Mrazy",130.8,5.7650178715554015,154.0,421.8,0,53.0
64,211,4750949211,Doma,61.0,5.686341407938133,168.6,347.8,0,88.0
65,212,4705869411,Lužanky,130.3,5.7650178715554015,167.1,293.4,0,156.0
66,213,4696247573,Naslepo,26.8,4.984051036682616,155.7,287.5,0,17.0
67,214,4688155274,Morning Run,130.2,5.749108888122341,161.8,309.2,0,73.0
68,215,4669275992,Afternoon Run,191.0,6.20963735717834,161.8,283.2,0,148.0
69,216,4656834421,Afternoon Run,59.0,5.101520253035404,154.3,283.8,0,21.0
70,217,4633868114,Objavovanie chodníčkov,202.8,6.062810719049351,163.3,309.2,1,103.0
71,218,4624527119,Afternoon Run,65.8,5.277601857715854,166.3,293.2,0,47.0
72,219,4612809131,Zimná krajinka,143.0,6.038647342995169,168.7,301.8,0,106.0
73,220,4591943048,Afternoon Run,98.6,5.874750323111268,165.7,293.4,0,107.0
74,221,4588277855,Evening Run,53.4,5.484260173302621,166.0,292.5,0,60.0
75,222,4572003674,Afternoon Run,65.1,5.835667600373483,165.3,287.9,0,59.0
76,223,4556299193,Brrrrrnoooooo,147.0,6.016847172081829,157.5,343.8,0,64.0
77,224,4544537236,Afternoon Run,27.8,5.663155510250311,168.0,424.6,0,60.0
78,226,4529539113,Afternoon Run,24.8,5.684402000909505,172.8,341.1,0,114.0
79,228,4512783133,Afternoon Run,56.0,5.219751539826705,149.7,389.8,0,14.0
80,235,4428831816,Neúspešný 1k PR pokus,4.3,5.3299221831361265,166.6,355.5,0,83.0
81,236,4420975948,Afternoon Run,25.7,5.407743889249405,170.4,341.1,0,98.0
82,237,4411234189,Lunch Run,64.2,5.755064456721915,174.2,400.7,0,121.0
83,239,4380380872,Afternoon Run,87.7,6.125199068969741,163.9,403.1,0,144.0
84,242,4332104715,Afternoon Run,24.4,5.6420672534416605,164.1,362.1,0,55.0
85,246,4288425343,Morning Run,55.9,5.680527152919791,164.7,404.7,0,72.0
86,248,4267651099,Nočák,15.2,5.6420672534416605,167.3,355.5,0,88.0
87,253,4216300181,Afternoon Run,27.4,5.444843732984863,164.6,360.6,0,98.0
88,259,4154438758,Afternoon Run,62.2,5.4024851431658565,172.5,286.1,0,110.0
89,260,4145343076,Afternoon Run,121.7,5.561116672227784,169.4,305.1,0,128.0
90,261,4142096344,Evening Run,64.2,6.303580433686333,160.6,288.2,0,66.0
91,263,4100512139,Morning Run,126.1,5.885122410546139,173.2,305.1,0,162.0
92,264,4092131823,Afternoon Run,127.5,5.495109352676119,174.8,318.4,0,126.0
93,268,4059286759,Golden hour v Brne,59.9,4.87044613286577,174.1,305.1,0,95.0
94,276,3992314885,Evening Run,27.8,5.95876534382076,157.1,360.0,0,64.0
95,279,3964643703,Evening Run,23.3,5.216484089723527,168.7,338.6,0,121.0
96,283,3939441912,Morning Run,98.5,5.967299200381907,168.1,403.9,1,114.0
97,284,3931734333,Afternoon Run,7.5,4.964750273061265,174.3,355.0,0,137.0
98,288,3898267148,Evening Run,48.0,5.2876480541455155,162.0,431.8,0,35.0
99,289,3881871486,Rajecký polmaratón 2020,122.8,5.7650178715554015,180.4,568.0,0,472.0
100,291,3857991720,V daždi,55.1,6.091617933723198,160.9,340.5,0,214.0
101,293,3832735442,Afternoon Run,32.3,5.910165484633569,169.3,338.6,0,171.0
102,294,3828473127,Evening Run,19.1,5.182421227197347,176.5,360.6,0,109.0
103,308,3730574765,Morning Run,34.5,6.109481915933529,167.6,336.7,0,246.0
104,315,3688815417,Rýchlosť v daždi,165.0,4.963271788763152,176.2,357.2,0,77.0
105,323,3627491478,Morning Run,113.4,5.5205918074417575,170.8,305.1,0,140.0
106,324,3622154087,Morning Run,140.4,5.901794145420208,162.6,318.4,1,96.0
107,325,3611307635,Morning Run,50.8,6.407791874919902,159.9,287.1,0,74.0
108,326,3606087271,Morning Run,189.2,6.2212268259300725,170.7,321.0,1,219.0
109,327,3597720506,Afternoon Run,49.2,5.950255861002023,172.0,271.9,0,79.0
110,328,3597718230,Afternoon Run,47.2,5.065856129685916,171.9,305.1,0,60.0
111,329,3591653015,Morning Run,58.8,5.6960583276372745,171.3,287.3,0,102.0
112,331,3586419607,Morning Run,70.0,5.815305885089556,169.3,292.1,0,118.0
113,333,3571779117,s5 v Brne: Medlanky kopce,124.0,5.829544129649061,175.6,315.1,0,145.0
114,347,3440611876,Running,13.3,4.929508035098096,151.6,357.8,0,35.0
115,352,3365001491,Prvý polmaratón,0.0,6.13195977434388,162.4,352.6,0,286.0
116,360,3298870850,Evening Run,29.5,5.55926173004225,168.3,357.7,0,178.0
117,372,3210932156,Rajecka cesta,33.5,5.7650178715554015,154.5,359.6,0,88.0
118,380,3177007544,Afternoon Run,0.0,6.34437254155564,120.9,359.7,0,5.0
119,381,3162058925,Run,0.0,6.9998600027999425,,,0,
120,382,3144546152,Morning Run,39.9,6.087168249330412,158.3,358.2,0,165.0
121,383,3113664400,Afternoon Run,41.3,5.653550429669832,154.2,286.7,0,46.0
122,384,3102621028,Afternoon Run,126.5,6.363752068219422,168.2,303.3,0,198.0
123,385,3061366684,Morning Run,66.0,5.688282138794084,149.6,288.1,0,47.0
124,387,2998934102,Afternoon Run,88.8,6.143260842855388,163.8,289.3,0,130.0
125,388,2984718944,Afternoon Run,66.4,5.809225049378413,156.5,287.4,0,64.0
126,389,2979354870,Evening run,38.5,5.509641873278237,146.8,288.4,0,18.0
127,391,2953550612,Evening Run 10km,127.8,6.3856960408684555,167.5,302.8,0,183.0
128,392,2953546175,3km speed,26.5,5.226298735235705,143.1,291.4,0,16.0
